DistrictNo,DistrictNameThai,DistrictNameEnglish,DistrictMOI_ID,DistrictOffice,DistrictGoverningAgency,DistrictGoverningAgencyCodeCitizenInfo,TopExecutivePosition,TopExecutivePositionandDistrict,ProvinceMOI_ID,ProvinceNameThai,RegionID,RegionName,ProvincialClusterID,ProvincialClusterName
011,เขตลาดกระบัง,Lat Krabang District,1011,สำนักงานเขตลาดกระบัง,สำนักงานเขตลาดกระบัง,0446411100000,ผู้อำนวยการเขต,ผู้อำนวยการเขตลาดกระบัง,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
012,เขตยานนาวา,Yan Nawa District,1012,สำนักงานเขตยานนาวา,สำนักงานเขตยานนาวา,0446411200000,ผู้อำนวยการเขต,ผู้อำนวยการเขตยานนาวา,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
013,เขตสัมพันธวงศ์,Samphanthawong District,1013,สำนักงานเขตสัมพันธวงศ์,สำนักงานเขตสัมพันธวงศ์,0446411300000,ผู้อำนวยการเขต,ผู้อำนวยการเขตสัมพันธวงศ์,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
014,เขตพญาไท,Phaya Thai District,1014,สำนักงานเขตพญาไท,สำนักงานเขตพญาไท,0446411400000,ผู้อำนวยการเขต,ผู้อำนวยการเขตพญาไท,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
015,เขตธนบุรี,Thon Buri District,1015,สำนักงานเขตธนบุรี,สำนักงานเขตธนบุรี,0446411500000,ผู้อำนวยการเขต,ผู้อำนวยการเขตธนบุรี,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
016,เขตบางกอกใหญ่,Bangkok Yai District,1016,สำนักงานเขตบางกอกใหญ่,สำนักงานเขตบางกอกใหญ่,0446411600000,ผู้อำนวยการเขต,ผู้อำนวยการเขตบางกอกใหญ่,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
017,เขตห้วยขวาง,Huai Khwang District,1017,สำนักงานเขตห้วยขวาง,สำนักงานเขตห้วยขวาง,0446411700000,ผู้อำนวยการเขต,ผู้อำนวยการเขตห้วยขวาง,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
018,เขตคลองสาน,Khlong San District,1018,สำนักงานเขตคลองสาน,สำนักงานเขตคลองสาน,0446411800000,ผู้อำนวยการเขต,ผู้อำนวยการเขตคลองสาน,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
019,เขตตลิ่งชัน,Taling Chan District,1019,สำนักงานเขตตลิ่งชัน,สำนักงานเขตตลิ่งชัน,0446411900000,ผู้อำนวยการเขต,ผู้อำนวยการเขตตลิ่งชัน,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
020,เขตบางกอกน้อย,Bangkok Noi District,1020,สำนักงานเขตบางกอกน้อย,สำนักงานเขตบางกอกน้อย,0446412000000,ผู้อำนวยการเขต,ผู้อำนวยการเขตบางกอกน้อย,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
021,เขตบางขุนเทียน,Bang Khun Thian District,1021,สำนักงานเขตบางขุนเทียน,สำนักงานเขตบางขุนเทียน,0446412100000,ผู้อำนวยการเขต,ผู้อำนวยการเขตบางขุนเทียน,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
022,เขตภาษีเจริญ,Phasi Charoen District,1022,สำนักงานเขตภาษีเจริญ,สำนักงานเขตภาษีเจริญ,0446412200000,ผู้อำนวยการเขต,ผู้อำนวยการเขตภาษีเจริญ,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
023,เขตหนองแขม,Nong Khaem District,1023,สำนักงานเขตหนองแขม,สำนักงานเขตหนองแขม,0446412300000,ผู้อำนวยการเขต,ผู้อำนวยการเขตหนองแขม,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
024,เขตราษฎร์บูรณะ,Rat Burana District,1024,สำนักงานเขตราษฎร์บูรณะ,สำนักงานเขตราษฎร์บูรณะ,0446412400000,ผู้อำนวยการเขต,ผู้อำนวยการเขตราษฎร์บูรณะ,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
025,เขตบางพลัด,Bang Phlat District,1025,สำนักงานเขตบางพลัด,สำนักงานเขตบางพลัด,0446412500000,ผู้อำนวยการเขต,ผู้อำนวยการเขตบางพลัด,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
026,เขตดินแดง,Din Daeng District,1026,สำนักงานเขตดินแดง,สำนักงานเขตดินแดง,0446412600000,ผู้อำนวยการเขต,ผู้อำนวยการเขตดินแดง,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
027,เขตบึงกุ่ม,Bueng Kum District,1027,สำนักงานเขตบึงกุ่ม,สำนักงานเขตบึงกุ่ม,0446412700000,ผู้อำนวยการเขต,ผู้อำนวยการเขตบึงกุ่ม,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
028,เขตสาทร,Sathon District,1028,สำนักงานเขตสาทร,สำนักงานเขตสาทร,0446412800000,ผู้อำนวยการเขต,ผู้อำนวยการเขตสาทร,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
029,เขตบางซื่อ,Bang Sue District,1029,สำนักงานเขตบางซื่อ,สำนักงานเขตบางซื่อ,0446412900000,ผู้อำนวยการเขต,ผู้อำนวยการเขตบางซื่อ,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
030,เขตจตุจักร,Chatuchak District,1030,สำนักงานเขตจตุจักร,สำนักงานเขตจตุจักร,0446413000000,ผู้อำนวยการเขต,ผู้อำนวยการเขตจตุจักร,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
031,เขตบางคอแหลม,Bang Kho Laem District,1031,สำนักงานเขตบางคอแหลม,สำนักงานเขตบางคอแหลม,0446413100000,ผู้อำนวยการเขต,ผู้อำนวยการเขตบางคอแหลม,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
032,เขตประเวศ,Prawet District,1032,สำนักงานเขตประเวศ,สำนักงานเขตประเวศ,0446413200000,ผู้อำนวยการเขต,ผู้อำนวยการเขตประเวศ,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
033,เขตคลองเตย,Khlong Toei District,1033,สำนักงานเขตคลองเตย,สำนักงานเขตคลองเตย,0446413300000,ผู้อำนวยการเขต,ผู้อำนวยการเขตคลองเตย,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
034,เขตสวนหลวง,Suan Luang District,1034,สำนักงานเขตสวนหลวง,สำนักงานเขตสวนหลวง,0446413400000,ผู้อำนวยการเขต,ผู้อำนวยการเขตสวนหลวง,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
035,เขตจอมทอง,Chom Thong District,1035,สำนักงานเขตจอมทอง,สำนักงานเขตจอมทอง,0446413500000,ผู้อำนวยการเขต,ผู้อำนวยการเขตจอมทอง,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
036,เขตดอนเมือง,Don Mueang District,1036,สำนักงานเขตดอนเมือง,สำนักงานเขตดอนเมือง,0446413600000,ผู้อำนวยการเขต,ผู้อำนวยการเขตดอนเมือง,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
037,เขตราชเทวี,Ratchathewi District,1037,สำนักงานเขตราชเทวี,สำนักงานเขตราชเทวี,0446413700000,ผู้อำนวยการเขต,ผู้อำนวยการเขตราชเทวี,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
038,เขตลาดพร้าว,Lat Phrao District,1038,สำนักงานเขตลาดพร้าว,สำนักงานเขตลาดพร้าว,0446413800000,ผู้อำนวยการเขต,ผู้อำนวยการเขตลาดพร้าว,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
039,เขตวัฒนา,Vadhana District,1039,สำนักงานเขตวัฒนา,สำนักงานเขตวัฒนา,0446413900000,ผู้อำนวยการเขต,ผู้อำนวยการเขตวัฒนา,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
040,เขตบางแค,Bang Khae District,1040,สำนักงานเขตบางแค,สำนักงานเขตบางแค,0446414000000,ผู้อำนวยการเขต,ผู้อำนวยการเขตบางแค,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
041,เขตหลักสี่,Lak Si District,1041,สำนักงานเขตหลักสี่,สำนักงานเขตหลักสี่,0446414100000,ผู้อำนวยการเขต,ผู้อำนวยการเขตหลักสี่,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
042,เขตสายไหม,Sai Mai District,1042,สำนักงานเขตสายไหม,สำนักงานเขตสายไหม,0446414200000,ผู้อำนวยการเขต,ผู้อำนวยการเขตสายไหม,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
043,เขตคันนายาว,Khan Na Yao District,1043,สำนักงานเขตคันนายาว,สำนักงานเขตคันนายาว,0446414300000,ผู้อำนวยการเขต,ผู้อำนวยการเขตคันนายาว,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
044,เขตสะพานสูง,Saphan Sung District,1044,สำนักงานเขตสะพานสูง,สำนักงานเขตสะพานสูง,0446414400000,ผู้อำนวยการเขต,ผู้อำนวยการเขตสะพานสูง,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
045,เขตวังทองหลาง,Wang Thonglang District,1045,สำนักงานเขตวังทองหลาง,สำนักงานเขตวังทองหลาง,0446414500000,ผู้อำนวยการเขต,ผู้อำนวยการเขตวังทองหลาง,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
046,เขตคลองสามวา,Khlong Sam Wa District,1046,สำนักงานเขตคลองสามวา,สำนักงานเขตคลองสามวา,0446414600000,ผู้อำนวยการเขต,ผู้อำนวยการเขตคลองสามวา,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
047,เขตบางนา,Bang Na District,1047,สำนักงานเขตบางนา,สำนักงานเขตบางนา,0446414700000,ผู้อำนวยการเขต,ผู้อำนวยการเขตบางนา,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
048,เขตทวีวัฒนา,Thawi Watthana District,1048,สำนักงานเขตทวีวัฒนา,สำนักงานเขตทวีวัฒนา,0446414800000,ผู้อำนวยการเขต,ผู้อำนวยการเขตทวีวัฒนา,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
049,เขตทุ่งครุ,Thung Khru District,1049,สำนักงานเขตทุ่งครุ,สำนักงานเขตทุ่งครุ,0446414900000,ผู้อำนวยการเขต,ผู้อำนวยการเขตทุ่งครุ,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
050,เขตบางบอน,Bang Bon District,1050,สำนักงานเขตบางบอน,สำนักงานเขตบางบอน,0446415000000,ผู้อำนวยการเขต,ผู้อำนวยการเขตบางบอน,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
051,อำเภอเมืองสมุทรปราการ,Mueang Samut Prakan District,1101,ที่ว่าการอำเภอเมืองสมุทรปราการ,ที่ทำการปกครองอำเภอเมืองสมุทรปราการ,0112140311010,นายอำเภอ,นายอำเภอเมืองสมุทรปราการ,11,จังหวัดสมุทรปราการ,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
052,อำเภอบางบ่อ,Bang Bo District,1102,ที่ว่าการอำเภอบางบ่อ,ที่ทำการปกครองอำเภอบางบ่อ,0112140311020,นายอำเภอ,นายอำเภอบางบ่อ,11,จังหวัดสมุทรปราการ,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
053,อำเภอบางพลี,Bang Phli District,1103,ที่ว่าการอำเภอบางพลี,ที่ทำการปกครองอำเภอบางพลี,0112140311030,นายอำเภอ,นายอำเภอบางพลี,11,จังหวัดสมุทรปราการ,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
054,อำเภอพระประแดง,Phra Pradaeng District,1104,ที่ว่าการอำเภอพระประแดง,ที่ทำการปกครองอำเภอพระประแดง,0112140311040,นายอำเภอ,นายอำเภอพระประแดง,11,จังหวัดสมุทรปราการ,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
055,อำเภอพระสมุทรเจดีย์,Phra Samut Chedi District,1105,ที่ว่าการอำเภอพระสมุทรเจดีย์,ที่ทำการปกครองอำเภอพระสมุทรเจดีย์,0112140311050,นายอำเภอ,นายอำเภอพระสมุทรเจดีย์,11,จังหวัดสมุทรปราการ,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
056,อำเภอบางเสาธง,Bang Sao Thong District,1106,ที่ว่าการอำเภอบางเสาธง,ที่ทำการปกครองอำเภอบางเสาธง,0112140311060,นายอำเภอ,นายอำเภอบางเสาธง,11,จังหวัดสมุทรปราการ,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
057,อำเภอเมืองนนทบุรี,Mueang Nonthaburi District,1201,ที่ว่าการอำเภอเมืองนนทบุรี,ที่ทำการปกครองอำเภอเมืองนนทบุรี,0112140312010,นายอำเภอ,นายอำเภอเมืองนนทบุรี,12,จังหวัดนนทบุรี,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
058,อำเภอบางกรวย,Bang Kruai District,1202,ที่ว่าการอำเภอบางกรวย,ที่ทำการปกครองอำเภอบางกรวย,0112140312020,นายอำเภอ,นายอำเภอบางกรวย,12,จังหวัดนนทบุรี,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
059,อำเภอบางใหญ่,Bang Yai District,1203,ที่ว่าการอำเภอบางใหญ่,ที่ทำการปกครองอำเภอบางใหญ่,0112140312030,นายอำเภอ,นายอำเภอบางใหญ่,12,จังหวัดนนทบุรี,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
060,อำเภอบางบัวทอง,Bang Bua Thong District,1204,ที่ว่าการอำเภอบางบัวทอง,ที่ทำการปกครองอำเภอบางบัวทอง,0112140312040,นายอำเภอ,นายอำเภอบางบัวทอง,12,จังหวัดนนทบุรี,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
061,อำเภอไทรน้อย,Sai Noi District,1205,ที่ว่าการอำเภอไทรน้อย,ที่ทำการปกครองอำเภอไทรน้อย,0112140312050,นายอำเภอ,นายอำเภอไทรน้อย,12,จังหวัดนนทบุรี,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
062,อำเภอปากเกร็ด,Pak Kret District,1206,ที่ว่าการอำเภอปากเกร็ด,ที่ทำการปกครองอำเภอปากเกร็ด,0112140312060,นายอำเภอ,นายอำเภอปากเกร็ด,12,จังหวัดนนทบุรี,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
063,อำเภอเมืองปทุมธานี,Mueang Pathum Thani District,1301,ที่ว่าการอำเภอเมืองปทุมธานี,ที่ทำการปกครองอำเภอเมืองปทุมธานี,0112140313010,นายอำเภอ,นายอำเภอเมืองปทุมธานี,13,จังหวัดปทุมธานี,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
064,อำเภอคลองหลวง,Khlong Luang District,1302,ที่ว่าการอำเภอคลองหลวง,ที่ทำการปกครองอำเภอคลองหลวง,0112140313020,นายอำเภอ,นายอำเภอคลองหลวง,13,จังหวัดปทุมธานี,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
065,อำเภอธัญบุรี,Thanyaburi District,1303,ที่ว่าการอำเภอธัญบุรี,ที่ทำการปกครองอำเภอธัญบุรี,0112140313030,นายอำเภอ,นายอำเภอธัญบุรี,13,จังหวัดปทุมธานี,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
066,อำเภอหนองเสือ,Nong Suea District,1304,ที่ว่าการอำเภอหนองเสือ,ที่ทำการปกครองอำเภอหนองเสือ,0112140313040,นายอำเภอ,นายอำเภอหนองเสือ,13,จังหวัดปทุมธานี,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
067,อำเภอลาดหลุมแก้ว,Lat Lum Kaeo District,1305,ที่ว่าการอำเภอลาดหลุมแก้ว,ที่ทำการปกครองอำเภอลาดหลุมแก้ว,0112140313050,นายอำเภอ,นายอำเภอลาดหลุมแก้ว,13,จังหวัดปทุมธานี,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
068,อำเภอลำลูกกา,Lam Luk Ka District,1306,ที่ว่าการอำเภอลำลูกกา,ที่ทำการปกครองอำเภอลำลูกกา,0112140313060,นายอำเภอ,นายอำเภอลำลูกกา,13,จังหวัดปทุมธานี,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
069,อำเภอสามโคก,Sam Khok District,1307,ที่ว่าการอำเภอสามโคก,ที่ทำการปกครองอำเภอสามโคก,0112140313070,นายอำเภอ,นายอำเภอสามโคก,13,จังหวัดปทุมธานี,1,ภาคกลาง,12,กลุ่มจังหวัดภาคกลางปริมณฑล
070,อำเภอพระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya District,1401,ที่ว่าการอำเภอพระนครศรีอยุธยา,ที่ทำการปกครองอำเภอพระนครศรีอยุธยา,0112140314010,นายอำเภอ,นายอำเภอพระนครศรีอยุธยา,14,จังหวัดพระนครศรีอยุธยา,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
071,อำเภอท่าเรือ,Tha Ruea District,1402,ที่ว่าการอำเภอท่าเรือ,ที่ทำการปกครองอำเภอท่าเรือ,0112140314020,นายอำเภอ,นายอำเภอท่าเรือ,14,จังหวัดพระนครศรีอยุธยา,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
072,อำเภอนครหลวง,Nakhon Luang District,1403,ที่ว่าการอำเภอนครหลวง,ที่ทำการปกครองอำเภอนครหลวง,0112140314030,นายอำเภอ,นายอำเภอนครหลวง,14,จังหวัดพระนครศรีอยุธยา,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
073,อำเภอบางไทร,Bang Sai District,1404,ที่ว่าการอำเภอบางไทร,ที่ทำการปกครองอำเภอบางไทร,0112140314040,นายอำเภอ,นายอำเภอบางไทร,14,จังหวัดพระนครศรีอยุธยา,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
074,อำเภอบางบาล,Bang Ban District,1405,ที่ว่าการอำเภอบางบาล,ที่ทำการปกครองอำเภอบางบาล,0112140314050,นายอำเภอ,นายอำเภอบางบาล,14,จังหวัดพระนครศรีอยุธยา,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
075,อำเภอบางปะอิน,Bang Pa-in District,1406,ที่ว่าการอำเภอบางปะอิน,ที่ทำการปกครองอำเภอบางปะอิน,0112140314060,นายอำเภอ,นายอำเภอบางปะอิน,14,จังหวัดพระนครศรีอยุธยา,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
076,อำเภอบางปะหัน,Bang Pahan District,1407,ที่ว่าการอำเภอบางปะหัน,ที่ทำการปกครองอำเภอบางปะหัน,0112140314070,นายอำเภอ,นายอำเภอบางปะหัน,14,จังหวัดพระนครศรีอยุธยา,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
077,อำเภอผักไห่,Phak Hai District,1408,ที่ว่าการอำเภอผักไห่,ที่ทำการปกครองอำเภอผักไห่,0112140314080,นายอำเภอ,นายอำเภอผักไห่,14,จังหวัดพระนครศรีอยุธยา,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
078,อำเภอภาชี,Phachi District,1409,ที่ว่าการอำเภอภาชี,ที่ทำการปกครองอำเภอภาชี,0112140314090,นายอำเภอ,นายอำเภอภาชี,14,จังหวัดพระนครศรีอยุธยา,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
079,อำเภอลาดบัวหลวง,Lat Bua Luang District,1410,ที่ว่าการอำเภอลาดบัวหลวง,ที่ทำการปกครองอำเภอลาดบัวหลวง,0112140314100,นายอำเภอ,นายอำเภอลาดบัวหลวง,14,จังหวัดพระนครศรีอยุธยา,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
080,อำเภอวังน้อย,Wang Noi District,1411,ที่ว่าการอำเภอวังน้อย,ที่ทำการปกครองอำเภอวังน้อย,0112140314110,นายอำเภอ,นายอำเภอวังน้อย,14,จังหวัดพระนครศรีอยุธยา,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
081,อำเภอเสนา,Sena District,1412,ที่ว่าการอำเภอเสนา,ที่ทำการปกครองอำเภอเสนา,0112140314120,นายอำเภอ,นายอำเภอเสนา,14,จังหวัดพระนครศรีอยุธยา,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
082,อำเภอบางซ้าย,Bang Sai District,1413,ที่ว่าการอำเภอบางซ้าย,ที่ทำการปกครองอำเภอบางซ้าย,0112140314130,นายอำเภอ,นายอำเภอบางซ้าย,14,จังหวัดพระนครศรีอยุธยา,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
083,อำเภออุทัย,Uthai District,1414,ที่ว่าการอำเภออุทัย,ที่ทำการปกครองอำเภออุทัย,0112140314140,นายอำเภอ,นายอำเภออุทัย,14,จังหวัดพระนครศรีอยุธยา,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
084,อำเภอมหาราช,Maha Rat District,1415,ที่ว่าการอำเภอมหาราช,ที่ทำการปกครองอำเภอมหาราช,0112140314150,นายอำเภอ,นายอำเภอมหาราช,14,จังหวัดพระนครศรีอยุธยา,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
085,อำเภอบ้านแพรก,Ban Phraek District,1416,ที่ว่าการอำเภอบ้านแพรก,ที่ทำการปกครองอำเภอบ้านแพรก,0112140314160,นายอำเภอ,นายอำเภอบ้านแพรก,14,จังหวัดพระนครศรีอยุธยา,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
086,อำเภอเมืองอ่างทอง,Mueang Ang Thong District,1501,ที่ว่าการอำเภอเมืองอ่างทอง,ที่ทำการปกครองอำเภอเมืองอ่างทอง,0112140315010,นายอำเภอ,นายอำเภอเมืองอ่างทอง,15,จังหวัดอ่างทอง,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
087,อำเภอไชโย,Chaiyo District,1502,ที่ว่าการอำเภอไชโย,ที่ทำการปกครองอำเภอไชโย,0112140315020,นายอำเภอ,นายอำเภอไชโย,15,จังหวัดอ่างทอง,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
088,อำเภอป่าโมก,Pa Mok District,1503,ที่ว่าการอำเภอป่าโมก,ที่ทำการปกครองอำเภอป่าโมก,0112140315030,นายอำเภอ,นายอำเภอป่าโมก,15,จังหวัดอ่างทอง,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
089,อำเภอโพธิ์ทอง,Pho Thong District,1504,ที่ว่าการอำเภอโพธิ์ทอง,ที่ทำการปกครองอำเภอโพธิ์ทอง,0112140315040,นายอำเภอ,นายอำเภอโพธิ์ทอง,15,จังหวัดอ่างทอง,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
090,อำเภอแสวงหา,Sawaeng Ha District,1505,ที่ว่าการอำเภอแสวงหา,ที่ทำการปกครองอำเภอแสวงหา,0112140315050,นายอำเภอ,นายอำเภอแสวงหา,15,จังหวัดอ่างทอง,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
091,อำเภอวิเศษชัยชาญ,Wiset Chai Chan District,1506,ที่ว่าการอำเภอวิเศษชัยชาญ,ที่ทำการปกครองอำเภอวิเศษชัยชาญ,0112140315060,นายอำเภอ,นายอำเภอวิเศษชัยชาญ,15,จังหวัดอ่างทอง,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
092,อำเภอสามโก้,Samko District,1507,ที่ว่าการอำเภอสามโก้,ที่ทำการปกครองอำเภอสามโก้,0112140315070,นายอำเภอ,นายอำเภอสามโก้,15,จังหวัดอ่างทอง,1,ภาคกลาง,11,กลุ่มจังหวัดภาคกลางตอนบน
